split,accuracy,auc_roc,f1,precision,recall,specificity,model
train,0.734375,0.8780193236714976,0.5853658536585366,0.5217391304347826,0.6666666666666666,0.7608695652173914,Random Forest (Baseline)
val,0.6666666666666666,0.5227272727272727,0.4444444444444444,0.4,0.5,0.7272727272727273,Random Forest (Baseline)
train,0.8125,0.8345410628019324,0.5384615384615384,0.875,0.3888888888888889,0.9782608695652174,Random Forest (Improved)
val,0.7333333333333333,0.5227272727272727,0.0,0.0,0.0,1.0,Random Forest (Improved)
train,0.953125,0.9806763285024155,0.9230769230769231,0.8571428571428571,1.0,0.9347826086956522,Random Forest (Fixed)
val,0.7333333333333333,0.5454545454545454,0.5,0.5,0.5,0.8181818181818182,Random Forest (Fixed)
train,0.46875,1.0,0.5142857142857142,0.34615384615384615,1.0,0.2608695652173913,XGBoost
val,0.3333333333333333,0.38636363636363635,0.375,0.25,0.75,0.18181818181818182,XGBoost
train,0.515625,0.8852657004830917,0.5373134328358209,0.3673469387755102,1.0,0.32608695652173914,XGBoost (Improved)
val,0.4666666666666667,0.5909090909090909,0.5,0.3333333333333333,1.0,0.2727272727272727,XGBoost (Improved)
